title,image_url,clustering_id
B751025206PH04PHOT68_salon_14_15_003.jpg,B751025206PH04PHOT68_salon_14_15_003.jpg,7
B751025206PH04PHOT68_salon_14_15_004.jpg,B751025206PH04PHOT68_salon_14_15_004.jpg,7
B751025206PH04PHOT68_salon_14_1_13_002.jpg,B751025206PH04PHOT68_salon_14_1_13_002.jpg,7
B751025206PH04PHOT68_salon_14_1_13_003.jpg,B751025206PH04PHOT68_salon_14_1_13_003.jpg,7
B751025206PH04PHOT68_salon_14_1_13_004.jpg,B751025206PH04PHOT68_salon_14_1_13_004.jpg,2
B751025206PH04PHOT68_salon_14_1_13_005.jpg,B751025206PH04PHOT68_salon_14_1_13_005.jpg,3
B751025206PH04PHOT68_salon_14_1_16_002.jpg,B751025206PH04PHOT68_salon_14_1_16_002.jpg,8
B751025206PH04PHOT68_salon_14_1_16_004.jpg,B751025206PH04PHOT68_salon_14_1_16_004.jpg,2
B751025206PH04PHOT68_salon_14_1_16_005.jpg,B751025206PH04PHOT68_salon_14_1_16_005.jpg,2
B751025206PH04PHOT68_salon_14_1_16_007.jpg,B751025206PH04PHOT68_salon_14_1_16_007.jpg,2
B751025206PH04PHOT68_salon_14_1_16_008.jpg,B751025206PH04PHOT68_salon_14_1_16_008.jpg,8
B751025206PH04PHOT68_salon_14_1_27_003.jpg,B751025206PH04PHOT68_salon_14_1_27_003.jpg,6
B751025206PH04PHOT68_salon_14_1_7_003.jpg,B751025206PH04PHOT68_salon_14_1_7_003.jpg,8
B751025206PH04PHOT68_salon_14_1_7_004.jpg,B751025206PH04PHOT68_salon_14_1_7_004.jpg,8
B751025206PH04PHOT68_salon_14_1_7_005.jpg,B751025206PH04PHOT68_salon_14_1_7_005.jpg,2
B751025206PH04PHOT68_salon_14_22_004.jpg,B751025206PH04PHOT68_salon_14_22_004.jpg,3
B751025206PH04PHOT68_salon_14_22_009.jpg,B751025206PH04PHOT68_salon_14_22_009.jpg,8
B751025206PH04PHOT68_salon_14_22_011.jpg,B751025206PH04PHOT68_salon_14_22_011.jpg,6
B751025206PH04PHOT68_salon_14_22_012.jpg,B751025206PH04PHOT68_salon_14_22_012.jpg,6
B751025206PH04PHOT68_salon_14_22_018.jpg,B751025206PH04PHOT68_salon_14_22_018.jpg,6
B751025206PH04PHOT68_salon_14_22_019.jpg,B751025206PH04PHOT68_salon_14_22_019.jpg,6
B751025206PH04PHOT68_salon_14_22_021.jpg,B751025206PH04PHOT68_salon_14_22_021.jpg,6
B751025206PH04PHOT68_salon_14_22_022.jpg,B751025206PH04PHOT68_salon_14_22_022.jpg,6
B751025206PH04PHOT68_salon_14_22_023.jpg,B751025206PH04PHOT68_salon_14_22_023.jpg,6
